Batch,Agent,Date,Retail_ID,Location,Retailer,GPU model,GPU Category,Manufacturer,Variant,Price,Currency,Price_type,Availability,Quantity,Restock_date,Source,Confidence,Evidence
1,Francyn,9/10/2026,TVCBO3,"2070 7th Ave E, Tuscaloosa, AL",Best Buy Tuscaloosa,RTX 5090,desktop_discrete,ASUS,Not stated,,USD,Not stated,in_stock,1,Not stated,Call transcript,high,"“We do have one RTX 5090, which is available for shipping.” / “Gonna be $3,699.99.” / “the 5090 is gonna be Asus brand.”"
1,Francyn,9/10/2026,TVCBO3,"2070 7th Ave E, Tuscaloosa, AL",Best Buy Tuscaloosa,RTX 5080,desktop_discrete,PNY,"16GB, triple fan",,USD,Not stated,in_stock,1,Not stated,Call transcript,medium,"“RTX 5080 16GB of RAM graphics card with a triple fan.” / “The brand of the 3080 is gonna be PNY.” / $1,699.99"
1,Francyn,9/10/2026,TVCBO3,"2070 7th Ave E, Tuscaloosa, AL",Best Buy Tuscaloosa,Radeon RX 6900,desktop_discrete,Gigabyte,16GB VRAM,649.99,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,medium,"“Radeon RX 6900” / “the brand is Gigabyte” / “$649.99, which is not available for pickup, but I can help you with the shipping.”"
1,Francyn,9/10/2026,TVCBO3,"2070 7th Ave E, Tuscaloosa, AL",Best Buy Tuscaloosa,Radeon RX 9070,desktop_discrete,Not stated,Not stated,899.0,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,medium,"“We don't have the 90, sorry, 9070” / “that's gonna cost you $899” / “available for shipping as well, not for the pickup.”"
1,Francyn,9/10/2026,G3DLD4,"2147 Tiger Town Pkwy, Opelika, AL 36801",Best Buy Auburn,RTX 5090,desktop_discrete,Not stated,Not stated,,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,medium,"“Buy for $4,399.” / Agent says these are among the editions “currently seeing available.”"
1,Francyn,9/10/2026,G3DLD4,"2147 Tiger Town Pkwy, Opelika, AL 36801",Best Buy Auburn,RTX 5090,desktop_discrete,Not stated,2TB,,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,medium,"“A 2Trog version of the 5090 for $4,829.” / “currently seeing available.”"
1,Francyn,9/10/2026,G3DLD4,"2147 Tiger Town Pkwy, Opelika, AL 36801",Best Buy Auburn,RTX 5090,desktop_discrete,MSI / NVIDIA,NVIDIA version,,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,high,"“MSI NVIDIA version for $4,299.” / “currently seeing available.”"
1,Francyn,9/10/2026,G3DLD4,"2147 Tiger Town Pkwy, Opelika, AL 36801",Best Buy Auburn,RTX 5080,desktop_discrete,NVIDIA,"Overclocked, 16GB GDDR7",,USD,Not stated,in_stock,1,Not stated,Call transcript,high,"“NVIDIA RTX 5080 overclocked 16GB GDDR7. We have one left for $1,699.”"
1,Francyn,9/10/2026,M88102,"4863 Montgomery Hwy Ste 100, Dothan, AL 36303",Best Buy,RTX 5080,desktop_discrete,ASUS,"ROG, 16GB",,USD,Retail_price,in_stock,Not stated,Not stated,Call transcript,high,"“Asus ROG 5080 16GB... $2,099.” Agent says it can be scheduled for pickup or shipping from warehouse."
1,Francyn,9/10/2026,M88102,"4863 Montgomery Hwy Ste 100, Dothan, AL 36303",Best Buy,RTX 5080,desktop_discrete,ASUS,"Prime, 16GB GDDR7",,USD,Retail_price,in_stock,Not stated,Not stated,Call transcript,high,"“RTX 5080... 16 gigs, DDR7, for $1,699.99. That's an ASUS brand.”"
1,Francyn,9/10/2026,M88102,"4863 Montgomery Hwy Ste 100, Dothan, AL 36303",Best Buy,RTX 5080,desktop_discrete,PNY,"NVIDIA, 16GB",,USD,Retail_price,in_stock,Not stated,Not stated,Call transcript,high,“Another alternative here that we have available in stock... PNY NVIDIA RTX 5080.”
1,Francyn,9/10/2026,M88102,"4863 Montgomery Hwy Ste 100, Dothan, AL 36303",Best Buy,RTX 5080,desktop_discrete,Gigabyte,Not stated,,USD,Listed_price,in_stock,Not stated,Not stated,Call transcript,high,"“Gigabyte... $100 discount... now it's $1,599.99.”"
1,Francyn,9/10/2026,M88102,"4863 Montgomery Hwy Ste 100, Dothan, AL 36303",Best Buy,Radeon RX 9070 XT,desktop_discrete,XFX,16GB,899.0,USD,Retail_price,out_of_stock,0,Not stated,Call transcript,high,"“The 9070 XT, we don't have anything on-site available... but we can order it.” / “RX 9070 16GB for $899.”"
1,Francyn,9/10/2026,13K568,"10200-130 Eastern Shore Blvd, Daphne, AL",Best Buy,RTX 5080,desktop_discrete,PNY,Not stated,,USD,Not stated,in_stock,Low_quantity,Not stated,Call transcript,high,"“That store has a PNY RTX 5080 in stock.” / “act fast, low quantities.”"
1,Francyn,9/10/2026,13K568,"10200-130 Eastern Shore Blvd, Daphne, AL",Best Buy,RTX 5060 Ti,desktop_discrete,Not stated,Not stated,,USD,Not stated,in_stock,Low_quantity,Not stated,Call transcript,medium,"“RTX 5060 Ti” / “All three of those are in stock at the Spanish Fort store.” / “act fast, low quantities.”"
1,Francyn,9/10/2026,13K568,"10200-130 Eastern Shore Blvd, Daphne, AL",Best Buy,Unknown / unclear (“780i”),desktop_discrete,Not stated,Not stated,,USD,Not stated,in_stock,Low_quantity,Not stated,Call transcript,low,“And then I picked 780i. All three of those are in stock...” The model is unclear due to transcription.
1,Francyn,9/10/2026,13K568,"10200-130 Eastern Shore Blvd, Daphne, AL",Best Buy,Radeon RX 9070 XT,desktop_discrete,Gigabyte,Gaming,,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,high,"“Gigabyte brand, Radeon RX 9070XT Gaming.” / “It's in stock at the Spanish Fort store.”"
1,Francyn,9/10/2026,13K568,"10200-130 Eastern Shore Blvd, Daphne, AL",Best Buy,Radeon RX 7600,desktop_discrete,AMD,Speedster,369.99,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,medium,“Speedster AMD Radeon RX 7600.” / “At $369.99.”
1,Francyn,9/5/2026,QAYFV5,"6123 University Dr NW, Huntsville, AL 35806",Gigaparts Huntsville,RTX 5060,desktop_discrete,MSI,"NVIDIA GeForce, 8GB Shadow 2X OC",479.99,USD,Before tax,in_stock,1,Not stated,Call transcript,high,“MSI NVIDIA GeForce RTX 5060 8GB Shadow 2X OC” / “$479.99 before tax” / “I think I only have the one.”
1,Francyn,9/5/2026,QAYFV5,"6123 University Dr NW, Huntsville, AL 35806",Gigaparts Huntsville,Radeon RX 9060 XT,desktop_discrete,Sapphire,Not stated,519.99,USD,Before tax,in_stock,5,Not stated,Call transcript,high,“Radeon RX 9060 XT” / “$519.99 before tax” / “I still have about five of those.”
1,Francyn,9/5/2026,QAYFV5,"6123 University Dr NW, Huntsville, AL 35806",Gigaparts Huntsville,RTX 5080,desktop_discrete,MSI,"Z4, 16GB Inspire 3X OC",,USD,Before tax,in_stock,4,Not stated,Call transcript,high,"“MSI Z4 RTX 5080. 16GB Inspire 3X OC” / “$1,720.99 before tax” / “I have about four.”"
1,Francyn,9/5/2026,QAYFV5,"6123 University Dr NW, Huntsville, AL 35806",Gigaparts Huntsville,RTX 5070,desktop_discrete,Not stated,Not stated,,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,medium,Agent explicitly says “We have a 5070.” / “we do have computer graphic cards in stock.”
1,Francyn,9/5/2026,QAYFV5,"6123 University Dr NW, Huntsville, AL 35806",Gigaparts Huntsville,RTX 5070 Ti,desktop_discrete,Not stated,Not stated,,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,medium,Agent explicitly says “a 5070 Ti.”
1,Francyn,9/5/2026,QAYFV5,"6123 University Dr NW, Huntsville, AL 35806",Gigaparts Huntsville,Radeon RX 9070 XT,desktop_discrete,Sapphire,Not stated,,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,medium,Agent says “we also have... a Radeon RX 9070 XT” and identifies the AMD cards as Sapphire.
1,Francyn,9/5/2026,QAYFV5,"6123 University Dr NW, Huntsville, AL 35806",Gigaparts Huntsville,RTX 5090,desktop_discrete,Not stated,Not stated,,USD,Not stated,out_of_stock,0,Not stated,Call transcript,high,"“No, it does not look like I have any 5090s in stock.”"
1,Francyn,9/11/2026,E9TJVL,"Dimond Mall, 800 E Dimond Blvd #100, Anchorage, AK 99515, United States",Best Buy,RTX 5090,desktop_discrete,ASUS,"TUF Gaming, 32GB",,USD,Retail_price,in_stock,Plenty,Not stated,Call transcript,high,"“ASUS TUF Gaming NVIDIA GeForce RTX 5090 32GB” / “$7,599.99” / “They have a lot. They have plenty of them.”"
1,Francyn,9/11/2026,E9TJVL,"Dimond Mall, 800 E Dimond Blvd #100, Anchorage, AK 99515, United States",Best Buy,RTX 5090,desktop_discrete,Not stated,"ROG XG Mobile, laptop GPU",,USD,Retail_price,in_stock,Not stated,Not stated,Call transcript,medium,"“ROCK XG Mobile external graphic card NVIDIA GeForce RTX 5090 laptop GPU.” / “$3,699.”"
1,Francyn,9/11/2026,E9TJVL,"Dimond Mall, 800 E Dimond Blvd #100, Anchorage, AK 99515, United States",Best Buy,RTX 5080,desktop_discrete,ASUS,"Prime, 16GB, DDR7, Express 5.0, Black",,USD,Retail_price,in_stock,Not stated,Not stated,Call transcript,high,"“ASUS Prime NVIDIA GeForce RTX 5080. 16 gigabytes... for $1,599.” / “those are the two models that I have available.”"
1,Francyn,9/11/2026,E9TJVL,"Dimond Mall, 800 E Dimond Blvd #100, Anchorage, AK 99515, United States",Best Buy,RTX 5090,desktop_discrete,Not stated,Not stated,,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,low,"“I have a 5090... It's $7,000.” This appears to be an earlier/general price statement that conflicts with the later specific $3,699 and $7,599.99 listings."
1,Francyn,9/12/2026,X129HK,"TIkahtnu Commons, 1200 N Muldoon Rd G, Anchorage, AK 99504, United States",Best Buy,RTX 5090,desktop_discrete,Not stated,Not stated,,USD,Not stated,out_of_stock,0,Not stated,Call transcript,high,“On the 5090... we don't have those in stock.” / “I don't have the price because we don't have them in our system.”
1,Francyn,9/12/2026,X129HK,"TIkahtnu Commons, 1200 N Muldoon Rd G, Anchorage, AK 99504, United States",Best Buy,RTX 5080,desktop_discrete,PNY,Not stated,,USD,Not stated,in_stock,1,Not stated,Call transcript,high,"“The PNY 5080. The price at $1,699.” / “I have one available.”"
1,Francyn,9/12/2026,X129HK,"TIkahtnu Commons, 1200 N Muldoon Rd G, Anchorage, AK 99504, United States",Best Buy,RTX 5080,desktop_discrete,MSI,NVIDIA GeForce,,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,high,"“The MSI 5080 is priced at $1,789.” / “MSI NVIDIA GeForce RTX”"
1,Francyn,9/12/2026,X129HK,"TIkahtnu Commons, 1200 N Muldoon Rd G, Anchorage, AK 99504, United States",Best Buy,RTX 5080,desktop_discrete,ASUS,ROG,,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,medium,"“$2,099.99. With the Asus ROG...” / Agent discusses it among available 5080 options."
1,Francyn,9/12/2026,X129HK,"TIkahtnu Commons, 1200 N Muldoon Rd G, Anchorage, AK 99504, United States",Best Buy,Radeon RX 9070,desktop_discrete,XFX,Not stated,549.99,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,medium,“The XFX... AMD Radeon RX... starts out at $549.99.”
1,Francyn,9/12/2026,X129HK,"TIkahtnu Commons, 1200 N Muldoon Rd G, Anchorage, AK 99504, United States",Best Buy,Radeon RX 9070 XT,desktop_discrete,ASUS,ROG Challenger,859.99,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,medium,“ASUS ROG Challenger Radeon RX...” / “RX 9700 XT... $859.99.”
1,Francyn,9/12/2026,X129HK,"TIkahtnu Commons, 1200 N Muldoon Rd G, Anchorage, AK 99504, United States",Best Buy,Radeon RX 9070 XT,desktop_discrete,XFX,AMD Radeon,869.99,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,medium,“$869.99.” / Agent identifies an AMD Radeon RX 9700 XT and later confirms a 9070-series card is in stock.
1,Francyn,9/12/2026,X129HK,"TIkahtnu Commons, 1200 N Muldoon Rd G, Anchorage, AK 99504, United States",Best Buy,Radeon RX 5700 XT,desktop_discrete,Gigabyte,AMD Radeon,929.99,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,high,“Gigabyte Radeon RX 5700 XT. That one's priced at $929.99.”
1,Francyn,9/12/2026,X129HK,"TIkahtnu Commons, 1200 N Muldoon Rd G, Anchorage, AK 99504, United States",Best Buy,RTX 5070,desktop_discrete,Not stated,Not stated,900.99,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,low,"“AMD Radeon... NVIDIA RTX 5070, that one price at $900.99.” The transcript is unclear/corrupted."
1,Princess,9/3/2026,MP8ISY,"15815 Monte Street, Suite F102, Sylmar, CA 91342",AAAWave,RTX 5070,desktop_discrete,Gigabyte,"Gaming, 12GB GDDR7",839.99,USD,Listed price,in_stock,266,Not stated,Call transcript,high,“We do have Gigabyte RTX 5070 gaming ones. With 12 gigabytes of DDR7.” / “listed at $839.99.” / “we have 266 in stock.”
1,Jecirie,9/8/2026,7F4P0F,"900 Loughborough Dr. Ste B  Merced, CA 95340",Action Computers,RTX 3070,desktop_discrete,NVIDIA,GeForce,,USD,Not stated,out_of_stock,0,Not stated,Call transcript,high,“We do not have one of those in stock.”
1,Jecirie,9/8/2026,7F4P0F,"900 Loughborough Dr. Ste B  Merced, CA 95340",Action Computers,Radeon RX 580,desktop_discrete,AMD,Radeon,,USD,Not stated,out_of_stock,0,Not stated,Call transcript,high,"“RX 580, we don't have one of those in stock either.”"
1,Jecirie,9/8/2026,7F4P0F,"900 Loughborough Dr. Ste B  Merced, CA 95340",Action Computers,RTX 5060,desktop_discrete,NVIDIA,GeForce,,USD,Approximate_price,in_stock,Not stated,Not stated,Call transcript,medium,“We've got a 5060 in stock.” / “I believe it's $449.99 or somewhere around there.”
1,Francyn,9/10/2026,41GZTR,"3777 Stevens Creek Blvd. Santa Clara, CA Near Highway 280",Central Computers,RTX 5090,desktop_discrete,ASUS,"Astral, Black",,USD,Listed_price,in_stock,7,Not stated,Call transcript,high,"“Across all of our stores, we're gonna have seven Astros” / “The black Astro is gonna be $4,829.99.”"
1,Francyn,9/10/2026,41GZTR,"3777 Stevens Creek Blvd. Santa Clara, CA Near Highway 280",Central Computers,RTX 5090,desktop_discrete,ASUS,"Astral, White",,USD,Listed_price,in_stock,6,Not stated,Call transcript,high,"“six Astros in white” / “The White Astro is $4,929.99.”"
1,Francyn,9/10/2026,41GZTR,"3777 Stevens Creek Blvd. Santa Clara, CA Near Highway 280",Central Computers,RTX 5060,desktop_discrete,ASUS,Not stated,,USD,Approximate_price,in_stock,Not stated,Not stated,Call transcript,medium,“50-60... about $600” and later “ASUS is gonna be closer to $500.”
1,Francyn,9/10/2026,41GZTR,"3777 Stevens Creek Blvd. Santa Clara, CA Near Highway 280",Central Computers,RTX 5060,desktop_discrete,Gigabyte,Not stated,,USD,Approximate_price,in_stock,Not stated,Not stated,Call transcript,medium,"“The brands range from ASUS to... Asus, Gigabyte, and MSI.” / “you're looking at about $500 to $600.”"
1,Francyn,9/10/2026,41GZTR,"3777 Stevens Creek Blvd. Santa Clara, CA Near Highway 280",Central Computers,RTX 5060,desktop_discrete,MSI,Not stated,,USD,Approximate_price,in_stock,Not stated,Not stated,Call transcript,medium,"“MSI, you're probably looking at about $450.”"
1,Francyn,9/10/2026,41GZTR,"3777 Stevens Creek Blvd. Santa Clara, CA Near Highway 280",Central Computers,RTX 5070,desktop_discrete,Not stated,Not stated,,USD,Approximate_price,in_stock,Not stated,Not stated,Call transcript,medium,“5070s in general are about $900.”
1,Francyn,9/10/2026,41GZTR,"3777 Stevens Creek Blvd. Santa Clara, CA Near Highway 280",Central Computers,Radeon RX 9070 XT,desktop_discrete,AMD,Not stated,,USD,Approximate_price,in_stock,Not stated,Not stated,Call transcript,high,“We do carry the AMD cards. 9070XTs are running for about $800 across all models.”
1,Jecirie,9/10/2026,BIU2DU,"1610 Garden of the Gods Rd, Colorado Springs, CO 80907",Tech for Less,GeForce RTX 4080,desktop_discrete,NVIDIA,Not stated,,USD,Listed_price,in_stock,1,Not stated,Call transcript,high,"“Looks like we do have a unit for $1,260.” / “Yes, ma'am. $1,261.97.”"
1,Jecirie,9/12/2026,5DSBY4,"265 E 29th St, Loveland, CO 80538",PCs & Parts,RTX 5060,desktop_discrete,NVIDIA,MSI Ventus Triple Fan,429.0,USD,Retail_price,in_stock,1,Not stated,Call transcript,high,Agent stated: “The only 5000 series that I have right now is an RTX 5060.” Then confirmed MSI Ventus triple fan at $429.
1,Jecirie,9/12/2026,5DSBY4,"265 E 29th St, Loveland, CO 80538",PCs & Parts,RX 9060,desktop_discrete,AMD,Not stated,,USD,Typical_price,out_of_stock,0,Not stated,Call transcript,medium,"Agent said they “don’t have any of those in stock at the moment” and that they typically keep 9060s in stock, with both models “right around $599 when we do have them.”"
1,Jecirie,9/12/2026,5DSBY4,"265 E 29th St, Loveland, CO 80538",PCs & Parts,RX 9060 XT,desktop_discrete,AMD,Not stated,,USD,Typical_price,out_of_stock,0,Not stated,Call transcript,medium,Agent said they “don’t have any of those in stock at the moment” and that 9060/9060 XT are typically around $599 when available.
1,Jecirie,9/12/2026,PTJY3B,"524 W. Laurel #2, Fort Collins, CO 80521",Run PC Computers,GeForce GTX 1070,desktop_discrete,NVIDIA,Not stated,119.0,USD,Retail_price,in_stock,Not stated,—,Call transcript,medium,"Client stated: “We have some 1070s” and identified the brand as NVIDIA, saying they believe they sell those for $119."
1,Jecirie,9/12/2026,PTJY3B,"524 W. Laurel #2, Fort Collins, CO 80521",Run PC Computers,GeForce GT 710,desktop_discrete,NVIDIA,Not stated,119.0,USD,Retail_price,in_stock,Not stated,—,Call transcript,medium,"Client stated: “We have some 710s,” then said “Nvidia, and I believe we sell those for $119.”"
1,Francyn,9/12/2026,KIA44A,"4040 S College Ave Fort Collins, CO 80525",Best Buy,GeForce RTX 5090,desktop_discrete,NVIDIA,ASUS TUF Gaming Triple Fan,,USD,Listed_price,in_stock,1,Not stated,Call transcript,high,"“The only one available right now is [ASUS TUF Gaming].” / “That one's gonna be $7,600.”"
1,Francyn,9/12/2026,KIA44A,"4040 S College Ave Fort Collins, CO 80525",Best Buy,GeForce RTX 5080,desktop_discrete,NVIDIA,PNY,,USD,Listed_price,in_stock,Not stated,Not stated,Call transcript,high,"“For the 5080, we do have the PNY” / “that one's gonna be $1,700.”"
1,Francyn,9/12/2026,KIA44A,"4040 S College Ave Fort Collins, CO 80525",Best Buy,GeForce RTX 5080,desktop_discrete,NVIDIA,Astro,,USD,Listed_price,in_stock,Not stated,Not stated,Call transcript,medium,"“We have the Astro” / “that one is gonna be $2,100 right now.”"
1,Francyn,9/12/2026,KIA44A,"4040 S College Ave Fort Collins, CO 80525",Best Buy,GeForce RTX 5080,desktop_discrete,NVIDIA,Gigabyte,,USD,Listed_price,in_stock,Not stated,Not stated,Call transcript,high,"“There's a Gigabyte one, that one's gonna be 1600.”"
1,Francyn,9/12/2026,KIA44A,"4040 S College Ave Fort Collins, CO 80525",Best Buy,GeForce RTX 5080,desktop_discrete,NVIDIA,ASUS Prime,,USD,Listed_price,in_stock,Not stated,Not stated,Call transcript,high,“There's an Asus Prime” / “1700.”
1,Francyn,9/12/2026,KIA44A,"4040 S College Ave Fort Collins, CO 80525",Best Buy,GeForce RTX 5080,desktop_discrete,NVIDIA,Gigabyte Windforce,,USD,Listed_price,in_stock,Not stated,Not stated,Call transcript,high,"“There's a Gigabyte Windforce” / “that would be $1,500.”"
1,Francyn,9/12/2026,KIA44A,"4040 S College Ave Fort Collins, CO 80525",Best Buy,Radeon RX 9060 XT,desktop_discrete,AMD,Gigabyte Gaming,650.0,USD,Listed_price,in_stock,Not stated,Not stated,Call transcript,high,"“Gigabyte 9060 XT gaming, that was gonna be $650.”"
1,Francyn,9/12/2026,KIA44A,"4040 S College Ave Fort Collins, CO 80525",Best Buy,Radeon RX 9060 XT,desktop_discrete,AMD,Not stated,520.0,USD,Listed_price,in_stock,Not stated,Not stated,Call transcript,low,“Then we have… At the fact. That one's gonna be $520 right now.” Model/variant is unclear in the transcript.
1,Francyn,9/12/2026,KIA44A,"4040 S College Ave Fort Collins, CO 80525",Best Buy,Radeon RX 9060 XT,desktop_discrete,AMD,Gigabyte OC,688.0,USD,Listed_price,in_stock,Not stated,Not stated,Call transcript,high,“We have a Gigabyte OC that was gonna be 688.”
1,Francyn,9/12/2026,KIA44A,"4040 S College Ave Fort Collins, CO 80525",Best Buy,Radeon RX 9060 XT,desktop_discrete,AMD,PowerColor,495.0,USD,Listed_price,in_stock,Not stated,Not stated,Call transcript,high,“We have a power color for 495.”
1,Francyn,9/9/2026,E8JC2S,"1509 Yellowstone Ave, Pocatello, ID 83201, United States",Computer Warehouse,GeForce RTX 5060,desktop_discrete,NVIDIA,PNY,449.0,USD,Listed_price,in_stock,Not stated,Not stated,Call transcript,medium,“We have the 5060 and 5070.” / “The 3050 would be $449”
1,Francyn,9/9/2026,E8JC2S,"1510 Yellowstone Ave, Pocatello, ID 83201, United States",Computer Warehouse,GeForce RTX 5070,desktop_discrete,NVIDIA,ASUS,789.0,USD,Listed_price,in_stock,Not stated,Not stated,Call transcript,medium,“We have the 5060 and 5070.” / “The 3070 would be $789.”
1,Francyn,9/9/2026,E8JC2S,"1511 Yellowstone Ave, Pocatello, ID 83201, United States",Computer Warehouse,Radeon RX 9070,desktop_discrete,AMD,ASUS,699.0,USD,Listed_price,in_stock,1,Not stated,Call transcript,medium,"“For AMD, I would have an RX 970.” / “That one is Asus with a price of $699.” / “It looks like I have one.”"
1,Francyn,9/9/2026,B84OD7,"385 May St, Idaho Falls, ID 83401, United States",AMT Computers and Electronics,GeForce RTX 5080,desktop_discrete,NVIDIA,PNY,,USD,Listed_price,in_stock,Low_quantity,Not stated,Call transcript,high,“I have one 5080” / “The PMY5080 is 1609.”
1,Francyn,9/9/2026,B84OD7,"385 May St, Idaho Falls, ID 83401, United States",AMT Computers and Electronics,GeForce RTX 5070,desktop_discrete,NVIDIA,PNY,859.0,USD,Listed_price,in_stock,Low_quantity,Not stated,Call transcript,high,“I have ... three 5070s” / “And the 5070 is $859.”
1,Francyn,9/9/2026,B84OD7,"385 May St, Idaho Falls, ID 83401, United States",AMT Computers and Electronics,GeForce RTX 5080,desktop_discrete,NVIDIA,PNY,,USD,Listed_price,out_of_stock,2,Not stated,Call transcript,high,“It looks like there's two more 5080s coming in.”
1,Francyn,9/9/2026,B84OD7,"385 May St, Idaho Falls, ID 83401, United States",AMT Computers and Electronics,GeForce RTX 5070,desktop_discrete,NVIDIA,PNY,859.0,USD,Listed_price,out_of_stock,3,Not stated,Call transcript,high,“Three more 5070s.”
1,Francyn,9/9/2026,BDEVVY,"3094 Richmond Rd #120, Lexington, KY 40509",Paymore,GeForce RTX 5060,desktop_discrete,NVIDIA,MSI Ventus,600.0,USD,Listed_price,in_stock,1,Not stated,Call transcript,high,“The only thing we have closest to that is an RTX 5060.” / “It's an MSI. It's the Ventus.” / “It's 600.” / “We only have one.”
1,Francyn,9/9/2026,WMKIS3,"577 Oak Villa Blvd Baton Rouge, LA 70815",Computer Heaven,GeForce RTX 5070,desktop_discrete,NVIDIA,Gigabyte,,USD,Listed_price,in_stock,1,Not stated,Call transcript,high,"“Right now, we have the Gigabyte GeForce 5070.” / “For 1,500.” / “One of the regular 5070.”"
1,Francyn,9/9/2026,WMKIS3,"577 Oak Villa Blvd Baton Rouge, LA 70815",Computer Heaven,GeForce RTX 5070 Ti,desktop_discrete,NVIDIA,Not stated,,USD,Listed_price,in_stock,2,Not stated,Call transcript,low,“We have the 5070 Ti for $18.” / “two of the 5070 TIs.”
1,Francyn,9/9/2026,WMKIS3,"577 Oak Villa Blvd Baton Rouge, LA 70815",Computer Heaven,GeForce RTX 5080,desktop_discrete,NVIDIA,ASUS Prime,,USD,Listed_price,in_stock,1,Not stated,Call transcript,high,"“In terms of the 5080, we have one.” / “For $2,500.” / “That is an Asus Prime.”"
